run_id,dataset,domain,method,relevance_class,n_queries,n_scoreable,n_unscoreable,coverage,mrr,recall@1,recall@5,recall@10,ndcg@1,ndcg@5,ndcg@10
bench-187f7d53ced2,casehold,legal,bm25,DERIVED,3600,3600,0,1.0,0.2078141534391536,0.15722222222222224,0.2747222222222222,0.32861111111111113,0.15722222222222224,0.2190571366017532,0.23650720784459173
bench-187f7d53ced2,casehold,legal,dense,DERIVED,3600,3600,0,1.0,0.2237673059964732,0.1613888888888889,0.31083333333333335,0.36944444444444446,0.1613888888888889,0.23956113946813495,0.25845660483863203
bench-187f7d53ced2,casehold,legal,hybrid,DERIVED,3600,3600,0,1.0,0.25071230158730184,0.18416666666666667,0.3375,0.4152777777777778,0.18416666666666667,0.2644731943160839,0.2896719299594271
bench-187f7d53ced2,cuad,legal,bm25,GOLD,20910,6702,14208,0.32051649928263987,0.4452439570277542,0.19449696736160724,0.4451799037210499,0.5851601130205114,0.3416890480453596,0.3880966101737158,0.43877289238941153
bench-187f7d53ced2,cuad,legal,dense,GOLD,20910,6702,14208,0.32051649928263987,0.44713820323713016,0.18415375607837806,0.4528733885198574,0.6093614583065875,0.3210981796478663,0.38101213715499704,0.4381338338546266
bench-187f7d53ced2,cuad,legal,hybrid,GOLD,20910,6702,14208,0.32051649928263987,0.47694901545617824,0.21123361858796283,0.46849270382082653,0.6158236608541112,0.3675022381378693,0.41107334133250956,0.464856312098018
bench-187f7d53ced2,medqa,medical,bm25,UNSUPPORTED,1273,0,1273,0.0,,,,,,,
bench-187f7d53ced2,medqa,medical,dense,UNSUPPORTED,1273,0,1273,0.0,,,,,,,
bench-187f7d53ced2,medqa,medical,hybrid,UNSUPPORTED,1273,0,1273,0.0,,,,,,,
bench-187f7d53ced2,pubmedqa,medical,bm25,DERIVED,1000,1000,0,1.0,0.9566000000000001,0.29824920634920643,0.6824023809523804,0.7348777777777772,0.938,0.738014408038529,0.7568526678033237
bench-187f7d53ced2,pubmedqa,medical,dense,DERIVED,1000,1000,0,1.0,0.9798500000000001,0.31017420634920595,0.7808595238095225,0.8340587301587283,0.971,0.823643576183295,0.842920489849625
bench-187f7d53ced2,pubmedqa,medical,hybrid,DERIVED,1000,1000,0,1.0,0.9790249999999999,0.310174206349206,0.7592845238095227,0.8118281746031734,0.972,0.8063451682500803,0.8252894992403497
bench-187f7d53ced2,qasper,scientific,bm25,GOLD,1451,1309,142,0.9021364576154376,0.376278086992372,0.14055157875822505,0.41561506016975297,0.5877390600035259,0.2261268143621085,0.32286871414433627,0.3888701193937568
bench-187f7d53ced2,qasper,scientific,dense,GOLD,1451,1309,142,0.9021364576154376,0.45045321158766527,0.16913571213609413,0.4658054435916105,0.6508546410526441,0.2910618792971734,0.3809220712702349,0.44923849197325155
bench-187f7d53ced2,qasper,scientific,hybrid,GOLD,1451,1309,142,0.9021364576154376,0.4561036535826457,0.17918885184927963,0.4713993160948052,0.6671311888298052,0.2987012987012987,0.3867494807617587,0.4586829506801116
bench-187f7d53ced2,sciq,scientific,bm25,DERIVED,1000,884,116,0.884,0.9451640271493214,0.9230769230769231,0.9717194570135747,0.9739819004524887,0.9230769230769231,0.9517248991458167,0.9524847091728459
bench-187f7d53ced2,sciq,scientific,dense,DERIVED,1000,884,116,0.884,0.8606891474538537,0.7929864253393665,0.9490950226244343,0.9649321266968326,0.7929864253393665,0.8814091355461535,0.8867001522561991
bench-187f7d53ced2,sciq,scientific,hybrid,DERIVED,1000,884,116,0.884,0.9162280938016235,0.8721719457013575,0.9705882352941176,0.9773755656108597,0.8721719457013575,0.9294323365896345,0.9316396979089976
