run_id,dataset,measure,model_a,model_b,test,n_a,n_b,n_used,mean_a,mean_b,mean_diff,ci_low,ci_high,p_value,p_holm,significant,winner
genall-e11cbda88824,medqa,hallucination,gemma2,llama3.1,wilcoxon-paired,300,300,300,0.983778,0.993889,-0.010111,-0.020222,-0.001111,0.0443402,0.177361,0,
genall-e11cbda88824,medqa,hallucination,gemma2,mistral,wilcoxon-paired,300,283,283,0.984570,0.988928,-0.004358,-0.014959,0.005595,0.406584,0.472792,0,
genall-e11cbda88824,medqa,hallucination,gemma2,qwen2.5,wilcoxon-paired,300,300,300,0.983778,0.978056,0.005722,-0.004890,0.016667,0.236396,0.472792,0,
genall-e11cbda88824,medqa,hallucination,llama3.1,mistral,wilcoxon-paired,300,283,283,0.996466,0.988928,0.007538,0.001060,0.015253,0.029472,0.14736,0,
genall-e11cbda88824,medqa,hallucination,llama3.1,qwen2.5,wilcoxon-paired,300,300,300,0.993889,0.978056,0.015833,0.006667,0.026389,0.00212601,0.012756,1,qwen2.5
genall-e11cbda88824,medqa,hallucination,mistral,qwen2.5,wilcoxon-paired,283,300,283,0.988928,0.981154,0.007774,-0.001767,0.018198,0.0659959,0.197988,0,
genall-e11cbda88824,pubmedqa,faithfulness,gemma2,llama3.1,wilcoxon-paired,92,101,82,0.872009,0.818191,0.053818,-0.011586,0.117697,0.123476,0.587923,0,
genall-e11cbda88824,pubmedqa,faithfulness,gemma2,mistral,wilcoxon-paired,92,92,74,0.874389,0.840283,0.034106,-0.039979,0.105872,0.352264,0.587923,0,
genall-e11cbda88824,pubmedqa,faithfulness,gemma2,qwen2.5,wilcoxon-paired,92,99,80,0.855060,0.904866,-0.049807,-0.112129,0.008055,0.117585,0.587923,0,
genall-e11cbda88824,pubmedqa,faithfulness,llama3.1,mistral,wilcoxon-paired,101,92,79,0.802954,0.845118,-0.042164,-0.111469,0.027110,0.193366,0.587923,0,
genall-e11cbda88824,pubmedqa,faithfulness,llama3.1,qwen2.5,wilcoxon-paired,101,99,89,0.797820,0.906247,-0.108427,-0.165210,-0.053838,0.000311561,0.00186937,1,qwen2.5
genall-e11cbda88824,pubmedqa,faithfulness,mistral,qwen2.5,wilcoxon-paired,92,99,78,0.861828,0.899542,-0.037714,-0.091163,0.011998,0.266523,0.587923,0,
genall-e11cbda88824,pubmedqa,hallucination,gemma2,llama3.1,wilcoxon-paired,300,300,300,0.621135,0.821333,-0.200198,-0.250565,-0.150388,3.06949e-13,1.84169e-12,1,gemma2
genall-e11cbda88824,pubmedqa,hallucination,gemma2,mistral,wilcoxon-paired,300,300,300,0.621135,0.756481,-0.135347,-0.191903,-0.078058,5.27959e-06,2.11184e-05,1,gemma2
genall-e11cbda88824,pubmedqa,hallucination,gemma2,qwen2.5,wilcoxon-paired,300,300,300,0.621135,0.723849,-0.102714,-0.149485,-0.056761,1.47165e-05,4.41495e-05,1,gemma2
genall-e11cbda88824,pubmedqa,hallucination,llama3.1,mistral,wilcoxon-paired,300,300,300,0.821333,0.756481,0.064852,0.017407,0.112186,0.00510507,0.0102101,1,mistral
genall-e11cbda88824,pubmedqa,hallucination,llama3.1,qwen2.5,wilcoxon-paired,300,300,300,0.821333,0.723849,0.097484,0.058387,0.134985,5.37249e-07,2.68624e-06,1,qwen2.5
genall-e11cbda88824,pubmedqa,hallucination,mistral,qwen2.5,wilcoxon-paired,300,300,300,0.756481,0.723849,0.032632,-0.010630,0.077760,0.0851199,0.0851199,0,
genall-e11cbda88824,qasper,faithfulness,gemma2,llama3.1,wilcoxon-paired,94,92,77,0.732468,0.853876,-0.121409,-0.221409,-0.025521,0.026368,0.105472,0,
genall-e11cbda88824,qasper,faithfulness,gemma2,mistral,wilcoxon-paired,94,91,73,0.723288,0.887606,-0.164318,-0.261579,-0.073189,0.00177022,0.0106213,1,mistral
genall-e11cbda88824,qasper,faithfulness,gemma2,qwen2.5,wilcoxon-paired,94,96,79,0.723418,0.843460,-0.120042,-0.204430,-0.038186,0.00762176,0.0381088,1,qwen2.5
genall-e11cbda88824,qasper,faithfulness,llama3.1,mistral,wilcoxon-paired,92,91,72,0.819213,0.885659,-0.066446,-0.150939,0.014812,0.120168,0.360504,0,
genall-e11cbda88824,qasper,faithfulness,llama3.1,qwen2.5,wilcoxon-paired,92,96,74,0.826331,0.836149,-0.009818,-0.110157,0.087050,0.764012,0.764012,0,
genall-e11cbda88824,qasper,faithfulness,mistral,qwen2.5,wilcoxon-paired,91,96,76,0.897807,0.826645,0.071162,-0.003183,0.150661,0.167626,0.360504,0,
genall-e11cbda88824,qasper,hallucination,gemma2,llama3.1,wilcoxon-paired,300,300,300,0.653503,0.757110,-0.103607,-0.154211,-0.052636,0.000182534,0.00109521,1,gemma2
genall-e11cbda88824,qasper,hallucination,gemma2,mistral,wilcoxon-paired,300,300,300,0.653503,0.697466,-0.043963,-0.092356,0.003445,0.128474,0.385421,0,
genall-e11cbda88824,qasper,hallucination,gemma2,qwen2.5,wilcoxon-paired,300,300,300,0.653503,0.665887,-0.012384,-0.058565,0.033806,0.700321,0.700321,0,
genall-e11cbda88824,qasper,hallucination,llama3.1,mistral,wilcoxon-paired,300,300,300,0.757110,0.697466,0.059644,0.007865,0.110112,0.0253167,0.101267,0,
genall-e11cbda88824,qasper,hallucination,llama3.1,qwen2.5,wilcoxon-paired,300,300,300,0.757110,0.665887,0.091223,0.044534,0.139899,0.000197998,0.00109521,1,qwen2.5
genall-e11cbda88824,qasper,hallucination,mistral,qwen2.5,wilcoxon-paired,300,300,300,0.697466,0.665887,0.031579,-0.013158,0.077067,0.21327,0.426539,0,
genall-e11cbda88824,sciq,faithfulness,gemma2,llama3.1,wilcoxon-paired,89,82,66,0.891631,0.891414,0.000216,-0.045563,0.042929,0.807313,1,0,
genall-e11cbda88824,sciq,faithfulness,gemma2,mistral,wilcoxon-paired,89,76,59,0.893462,0.898023,-0.004560,-0.067071,0.065214,0.477049,1,0,
genall-e11cbda88824,sciq,faithfulness,gemma2,qwen2.5,wilcoxon-paired,89,80,63,0.897619,0.873545,0.024074,-0.030688,0.082540,0.532025,1,0,
genall-e11cbda88824,sciq,faithfulness,llama3.1,mistral,wilcoxon-paired,82,76,59,0.894915,0.912147,-0.017232,-0.067514,0.038136,0.244206,1,0,
genall-e11cbda88824,sciq,faithfulness,llama3.1,qwen2.5,wilcoxon-paired,82,80,60,0.875000,0.890278,-0.015278,-0.078340,0.050000,0.575202,1,0,
genall-e11cbda88824,sciq,faithfulness,mistral,qwen2.5,wilcoxon-paired,76,80,59,0.896610,0.870621,0.025989,-0.042373,0.096617,0.536836,1,0,
genall-e11cbda88824,sciq,hallucination,gemma2,llama3.1,wilcoxon-paired,300,300,300,0.538056,0.692111,-0.154056,-0.208335,-0.100554,1.75767e-07,8.78836e-07,1,gemma2
genall-e11cbda88824,sciq,hallucination,gemma2,mistral,wilcoxon-paired,300,167,167,0.501996,0.759381,-0.257385,-0.335828,-0.180437,7.97037e-09,4.78222e-08,1,gemma2
genall-e11cbda88824,sciq,hallucination,gemma2,qwen2.5,wilcoxon-paired,300,300,300,0.538056,0.668333,-0.130278,-0.189722,-0.071389,4.2248e-05,0.000168992,1,gemma2
genall-e11cbda88824,sciq,hallucination,llama3.1,mistral,wilcoxon-paired,300,167,167,0.651497,0.759381,-0.107884,-0.191816,-0.026547,0.00959738,0.023792,1,llama3.1
genall-e11cbda88824,sciq,hallucination,llama3.1,qwen2.5,wilcoxon-paired,300,300,300,0.692111,0.668333,0.023778,-0.032778,0.081057,0.332059,0.332059,0,
genall-e11cbda88824,sciq,hallucination,mistral,qwen2.5,wilcoxon-paired,167,300,167,0.759381,0.651697,0.107685,0.027246,0.187430,0.00793066,0.023792,1,qwen2.5
